game,post,games_post,time_c,time_std,games_post_std,mu_target_true,mu_cf_target_true,skill_true,skill_cf_true,true_treatment_effect,elo_obs,opp_elo,mu_target_mean,mu_target_lwr,mu_target_upr,mu_cf_target_mean,mu_cf_target_lwr,mu_cf_target_upr,skill_mean,skill_lwr,skill_upr,skill_cf_mean,skill_cf_lwr,skill_cf_upr,treatment_effect_mean,treatment_effect_lwr,treatment_effect_upr
11,0,0,-89.5,-0.895,0.0,1697.673,1697.673,1706.3031360938178,1706.3031360938178,0.0,1710.213195884926,1667.4575497566454,1723.4405434897158,1699.253248114022,1746.0188861991976,1723.4405434897158,1699.253248114022,1746.0188861991976,1703.217465554943,1680.1446902305927,1726.141798646058,1703.217465554943,1680.1446902305927,1726.141798646058,0.0,0.0,0.0
12,0,0,-88.5,-0.885,0.0,1697.699,1697.699,1690.8717493067518,1690.8717493067518,0.0,1691.3771754098898,1562.3284255846092,1723.5083530277539,1699.3690500344967,1745.975398728124,1723.5083530277539,1699.3690500344967,1745.975398728124,1703.289830262744,1680.1618819818498,1726.3489764279175,1703.289830262744,1680.1618819818498,1726.3489764279175,0.0,0.0,0.0
13,0,0,-87.5,-0.875,0.0,1697.725,1697.725,1702.9304753616332,1702.9304753616332,0.0,1717.2635284116154,1620.4358883815498,1723.5761625657883,1699.5968409711277,1745.8296464267414,1723.5761625657883,1699.5968409711277,1745.8296464267414,1705.7402694662906,1682.8606858209037,1728.6524943923446,1705.7402694662906,1682.8606858209037,1728.6524943923446,0.0,0.0,0.0
14,0,0,-86.5,-0.865,0.0,1697.751,1697.751,1696.1159891026593,1696.1159891026593,0.0,1662.2110900336388,1656.731242903197,1723.6439721038216,1699.626736088716,1745.8409427555187,1723.6439721038216,1699.626736088716,1745.8409427555187,1705.6773858498682,1681.7306092117935,1728.5145596303457,1705.6773858498682,1681.7306092117935,1728.5145596303457,0.0,0.0,0.0
15,0,0,-85.5,-0.855,0.0,1697.777,1697.777,1706.1519035172007,1706.1519035172007,0.0,1749.4670069217073,1800.8307919225165,1723.7117816418574,1699.679660559223,1745.8471768811246,1723.7117816418574,1699.679660559223,1745.8471768811246,1713.7686523124476,1690.8379720210653,1737.963581873794,1713.7686523124476,1690.8379720210653,1737.963581873794,0.0,0.0,0.0
16,0,0,-84.5,-0.845,0.0,1697.803,1697.803,1707.348136685388,1707.348136685388,0.0,1715.025865024194,1832.8926059015134,1723.7795911798923,1699.8403454779675,1745.8306333146975,1723.7795911798923,1699.8403454779675,1745.8306333146975,1715.081002148273,1692.2283607040806,1738.7876042714445,1715.081002148273,1692.2283607040806,1738.7876042714445,0.0,0.0,0.0
17,0,0,-83.5,-0.835,0.0,1697.829,1697.829,1722.478084747968,1722.478084747968,0.0,1749.808176689741,1648.626279742767,1723.8474007179234,1699.8824563683522,1745.8103097577355,1723.8474007179234,1699.8824563683522,1745.8103097577355,1716.5671597671733,1693.2145783849883,1740.1184176238285,1716.5671597671733,1693.2145783849883,1740.1184176238285,0.0,0.0,0.0
18,0,0,-82.5,-0.825,0.0,1697.855,1697.855,1715.3859289150905,1715.3859289150905,0.0,1724.0171171240866,1724.467380651118,1723.9152102559638,1699.9835088415598,1745.793070117331,1723.9152102559638,1699.9835088415598,1745.793070117331,1711.7397982197392,1689.2971477415192,1735.0117893738827,1711.7397982197392,1689.2971477415192,1735.0117893738827,0.0,0.0,0.0
19,0,0,-81.5,-0.815,0.0,1697.881,1697.881,1711.9178817720895,1711.9178817720895,0.0,1690.0050110118298,1674.6461436620004,1723.9830197939966,1700.220290379943,1745.727511461402,1723.9830197939966,1700.220290379943,1745.727511461402,1704.360259250829,1681.0675003696808,1727.691597782099,1704.360259250829,1681.0675003696808,1727.691597782099,0.0,0.0,0.0
20,0,0,-80.5,-0.805,0.0,1697.907,1697.907,1715.0153554022359,1715.0153554022359,0.0,1706.8687232508435,1729.0717218549007,1724.050829332033,1700.335739232424,1745.6817695840587,1724.050829332033,1700.335739232424,1745.6817695840587,1699.7021506454812,1674.8280115975986,1723.3298525387206,1699.7021506454812,1674.8280115975986,1723.3298525387206,0.0,0.0,0.0
21,0,0,-79.5,-0.795,0.0,1697.933,1697.933,1692.598997312193,1692.598997312193,0.0,1610.1419631746983,1622.1241038712553,1724.1186388700785,1700.4249663120454,1745.4991492315087,1724.1186388700785,1700.4249663120454,1745.4991492315087,1693.1818325779043,1666.4877818980863,1716.6601587970758,1693.1818325779043,1666.4877818980863,1716.6601587970758,0.0,0.0,0.0
22,0,0,-78.5,-0.785,0.0,1697.959,1697.959,1700.9854117815364,1700.9854117815364,0.0,1706.3317042574577,1720.934321121971,1724.1864484081023,1700.3621457355173,1745.4138714242888,1724.1864484081023,1700.3621457355173,1745.4138714242888,1702.5142938456243,1678.2618937209945,1725.6754470539195,1702.5142938456243,1678.2618937209945,1725.6754470539195,0.0,0.0,0.0
23,0,0,-77.5,-0.775,0.0,1697.985,1697.985,1716.341707492812,1716.341707492812,0.0,1714.6090559955805,1672.551316941592,1724.2542579461517,1700.5542320343595,1745.4201347246446,1724.2542579461517,1700.5542320343595,1745.4201347246446,1710.7155755763624,1687.5054604278034,1733.1998002258204,1710.7155755763624,1687.5054604278034,1733.1998002258204,0.0,0.0,0.0
24,0,0,-76.5,-0.765,0.0,1698.011,1698.011,1727.2431612756059,1727.2431612756059,0.0,1757.5685240707587,1661.8248082135692,1724.3220674841791,1700.6712374435149,1745.3623338211366,1724.3220674841791,1700.6712374435149,1745.3623338211366,1717.9362041860713,1694.475496567372,1741.3593593721293,1717.9362041860713,1694.475496567372,1741.3593593721293,0.0,0.0,0.0
25,0,0,-75.5,-0.755,0.0,1698.037,1698.037,1734.2067344932163,1734.2067344932163,0.0,1690.3077283111377,1698.2175176401279,1724.389877022217,1700.7803001281427,1745.4273200538444,1724.389877022217,1700.7803001281427,1745.4273200538444,1717.3376655748725,1694.5168557342063,1740.2100974115635,1717.3376655748725,1694.5168557342063,1740.2100974115635,0.0,0.0,0.0
26,0,0,-74.5,-0.745,0.0,1698.063,1698.063,1732.0240808721999,1732.0240808721999,0.0,1730.0594495451453,1621.2659762142398,1724.4576865602548,1700.9620305976814,1745.435646968098,1724.4576865602548,1700.9620305976814,1745.435646968098,1722.186757497177,1699.0734525546634,1745.5724922204815,1722.186757497177,1699.0734525546634,1745.5724922204815,0.0,0.0,0.0
27,0,0,-73.5,-0.735,0.0,1698.089,1698.089,1744.164401525353,1744.164401525353,0.0,1736.529212637703,1781.426642664026,1724.5254960982777,1701.146817686882,1745.341733917465,1724.5254960982777,1701.146817686882,1745.341733917465,1725.5739128959387,1701.964545279596,1749.842608232906,1725.5739128959387,1701.964545279596,1749.842608232906,0.0,0.0,0.0
28,0,0,-72.5,-0.725,0.0,1698.115,1698.115,1753.9837197145655,1753.9837197145655,0.0,1722.4040340652377,1706.9366816570048,1724.5933056363162,1701.3499726560383,1745.3526490051438,1724.5933056363162,1701.3499726560383,1745.3526490051438,1726.824887935711,1703.6904613787815,1750.5663396587602,1726.824887935711,1703.6904613787815,1750.5663396587602,0.0,0.0,0.0
29,0,0,-71.5,-0.715,0.0,1698.141,1698.141,1756.793073766047,1756.793073766047,0.0,1720.089084036748,1839.2311919533024,1724.661115174356,1701.2885265006278,1745.3398907451058,1724.661115174356,1701.2885265006278,1745.3398907451058,1729.2965505445525,1705.9677730697906,1752.5209980413217,1729.2965505445525,1705.9677730697906,1752.5209980413217,0.0,0.0,0.0
30,0,0,-70.5,-0.705,0.0,1698.167,1698.167,1755.6716954190158,1755.6716954190158,0.0,1726.2840398361382,1801.9099142900488,1724.728924712392,1701.4655555140384,1745.3249423230625,1724.728924712392,1701.4655555140384,1745.3249423230625,1733.4161615267915,1710.4989393742526,1756.1590681277364,1733.4161615267915,1710.4989393742526,1756.1590681277364,0.0,0.0,0.0
31,0,0,-69.5,-0.695,0.0,1698.193,1698.193,1750.9044527890262,1750.9044527890262,0.0,1775.5016455476102,1819.0966285116083,1724.7967342504287,1701.5405286252565,1745.2049184849066,1724.7967342504287,1701.5405286252565,1745.2049184849066,1739.2445258332375,1716.1223971177321,1762.6810591796245,1739.2445258332375,1716.1223971177321,1762.6810591796245,0.0,0.0,0.0
32,0,0,-68.5,-0.685,0.0,1698.219,1698.219,1737.5484217783412,1737.5484217783412,0.0,1762.1807979438856,1715.4905928569608,1724.8645437884625,1701.634254477484,1745.1773902859227,1724.8645437884625,1701.634254477484,1745.1773902859227,1738.1923738639293,1714.446896770046,1762.4324170943892,1738.1923738639293,1714.446896770046,1762.4324170943892,0.0,0.0,0.0
33,0,0,-67.5,-0.675,0.0,1698.245,1698.245,1749.0246462709858,1749.0246462709858,0.0,1713.025995995794,1822.4885598278731,1724.9323533265008,1701.764204862271,1745.232291954443,1724.9323533265008,1701.764204862271,1745.232291954443,1732.8420103083924,1709.181023933076,1756.4372858700942,1732.8420103083924,1709.181023933076,1756.4372858700942,0.0,0.0,0.0
34,0,0,-66.5,-0.665,0.0,1698.271,1698.271,1726.2891344787145,1726.2891344787145,0.0,1722.120841809475,1799.4840230783811,1725.0001628645382,1701.9850948363771,1745.2010315790224,1725.0001628645382,1701.9850948363771,1745.2010315790224,1731.2084706237424,1707.8806081326736,1755.0173939501447,1731.2084706237424,1707.8806081326736,1755.0173939501447,0.0,0.0,0.0
35,0,0,-65.5,-0.655,0.0,1698.297,1698.297,1722.027818330617,1722.027818330617,0.0,1733.8625213747855,1700.8167160792482,1725.0679724025683,1702.0277357443917,1745.1459481586285,1725.0679724025683,1702.0277357443917,1745.1459481586285,1731.4184418838277,1707.5380715839246,1754.479980172177,1731.4184418838277,1707.5380715839246,1754.479980172177,0.0,0.0,0.0
36,0,0,-64.5,-0.645,0.0,1698.323,1698.323,1723.1975226607515,1723.1975226607515,0.0,1731.3390200363722,1727.5090145892173,1725.1357819406066,1702.114581880067,1745.0907883278564,1725.1357819406066,1702.114581880067,1745.0907883278564,1730.9842856185055,1706.755063626978,1754.3414569271072,1730.9842856185055,1706.755063626978,1754.3414569271072,0.0,0.0,0.0
37,0,0,-63.5,-0.635,0.0,1698.349,1698.349,1731.2993640536638,1731.2993640536638,0.0,1693.3374309562012,1812.1505311409085,1725.2035914786402,1702.1371335334895,1745.0461962277493,1725.2035914786402,1702.1371335334895,1745.0461962277493,1730.0255693289414,1705.661114269565,1752.7325687415741,1730.0255693289414,1705.661114269565,1752.7325687415741,0.0,0.0,0.0
38,0,0,-62.5,-0.625,0.0,1698.375,1698.375,1748.2574891377085,1748.2574891377085,0.0,1733.2156298783862,1757.9352463827038,1725.2714010166771,1702.2416945835844,1745.0759771003789,1725.2714010166771,1702.2416945835844,1745.0759771003789,1736.135551347092,1712.62652001502,1758.973265483399,1736.135551347092,1712.62652001502,1758.973265483399,0.0,0.0,0.0
39,0,0,-61.5,-0.615,0.0,1698.401,1698.401,1757.1935971144724,1757.1935971144724,0.0,1721.3002071862898,1718.6901155523553,1725.3392105547032,1702.3687721028632,1745.1420651167255,1725.3392105547032,1702.3687721028632,1745.1420651167255,1742.8766618014668,1719.1666030254173,1766.2890283503248,1742.8766618014668,1719.1666030254173,1766.2890283503248,0.0,0.0,0.0
40,0,0,-60.5,-0.605,0.0,1698.427,1698.427,1753.1030509111986,1753.1030509111986,0.0,1778.5133278917249,1813.8563597881039,1725.4070200927438,1702.4095720951414,1745.1285976603851,1725.4070200927438,1702.4095720951414,1745.1285976603851,1753.9007643083921,1730.588388438997,1778.2116822415953,1753.9007643083921,1730.588388438997,1778.2116822415953,0.0,0.0,0.0
41,0,0,-59.5,-0.595,0.0,1698.453,1698.453,1759.291325471866,1759.291325471866,0.0,1824.1739702036402,1827.0852893838892,1725.4748296307832,1702.3743366018186,1745.1112491041179,1725.4748296307832,1702.3743366018186,1745.1112491041179,1760.558322568939,1736.6150321159803,1785.9693002548916,1760.558322568939,1736.6150321159803,1785.9693002548916,0.0,0.0,0.0
42,0,0,-58.5,-0.585,0.0,1698.479,1698.479,1745.4590757932317,1745.4590757932317,0.0,1744.212301076785,1696.9301711780522,1725.5426391688145,1702.4386648181548,1745.1612994513507,1725.5426391688145,1702.4386648181548,1745.1612994513507,1755.1646937130924,1731.9716893175269,1778.4896630017688,1755.1646937130924,1731.9716893175269,1778.4896630017688,0.0,0.0,0.0
43,0,0,-57.5,-0.575,0.0,1698.505,1698.505,1758.8193795442542,1758.8193795442542,0.0,1705.1773185574589,1784.1386477840047,1725.6104487068494,1702.4392045347706,1745.2290160002817,1725.6104487068494,1702.4392045347706,1745.2290160002817,1752.1186463974675,1728.690165205758,1775.3804740782145,1752.1186463974675,1728.690165205758,1775.3804740782145,0.0,0.0,0.0
44,0,0,-56.5,-0.565,0.0,1698.531,1698.531,1756.0488587050752,1756.0488587050752,0.0,1776.512931734543,1758.15652775984,1725.678258244887,1702.5418323942974,1745.371657249983,1725.678258244887,1702.5418323942974,1745.371657249983,1758.482105241717,1735.6504180727213,1781.6265130747838,1758.482105241717,1735.6504180727213,1781.6265130747838,0.0,0.0,0.0
45,0,0,-55.5,-0.555,0.0,1698.557,1698.557,1748.161430031103,1748.161430031103,0.0,1787.0823308764586,1811.616546266733,1725.7460677829274,1702.6999706034678,1745.474774615533,1725.7460677829274,1702.6999706034678,1745.474774615533,1761.686938226812,1738.564294836403,1785.6712230812464,1761.686938226812,1738.564294836403,1785.6712230812464,0.0,0.0,0.0
46,0,0,-54.5,-0.545,0.0,1698.583,1698.583,1740.779260426159,1740.779260426159,0.0,1777.7460664902585,1700.6961036575235,1725.813877320958,1702.782966974969,1745.4947880645873,1725.813877320958,1702.782966974969,1745.4947880645873,1760.2884245339867,1737.4555404321432,1783.7177551985185,1760.2884245339867,1737.4555404321432,1783.7177551985185,0.0,0.0,0.0
47,0,0,-53.5,-0.535,0.0,1698.609,1698.609,1739.3222419414321,1739.3222419414321,0.0,1743.4382503297766,1813.4133280945357,1725.8816868589872,1702.8371256445857,1745.5053701203828,1725.8816868589872,1702.8371256445857,1745.5053701203828,1755.8915462647083,1732.114785211202,1779.2105922629246,1755.8915462647083,1732.114785211202,1779.2105922629246,0.0,0.0,0.0
48,0,0,-52.5,-0.525,0.0,1698.635,1698.635,1734.580647876904,1734.580647876904,0.0,1747.826027168181,1786.9385434623568,1725.9494963970249,1702.973152349933,1745.497722051262,1725.9494963970249,1702.973152349933,1745.497722051262,1754.2471776301622,1730.455399129133,1777.1622975031587,1754.2471776301622,1730.455399129133,1777.1622975031587,0.0,0.0,0.0
49,0,0,-51.5,-0.515,0.0,1698.661,1698.661,1756.7613543925117,1756.7613543925117,0.0,1759.1326900446002,1736.9438153681467,1726.017305935068,1703.1241398139714,1745.520199586891,1726.017305935068,1703.1241398139714,1745.520199586891,1754.249029553335,1731.069990376459,1777.392747965412,1754.249029553335,1731.069990376459,1777.392747965412,0.0,0.0,0.0
50,0,0,-50.5,-0.505,0.0,1698.687,1698.687,1748.4180558258556,1748.4180558258556,0.0,1766.4319517811175,1718.9589771388366,1726.085115473096,1703.266859986783,1745.5218748431114,1726.085115473096,1703.266859986783,1745.5218748431114,1753.1421656719474,1729.5803839640303,1776.592666451985,1753.1421656719474,1729.5803839640303,1776.592666451985,0.0,0.0,0.0
51,0,0,-49.5,-0.495,0.0,1698.713,1698.713,1747.7500321409082,1747.7500321409082,0.0,1771.2853895550754,1683.570919451321,1726.1529250111314,1703.3399648765787,1745.5242186330286,1726.1529250111314,1703.3399648765787,1745.5242186330286,1749.9129377220634,1726.860246661435,1773.4416231454238,1749.9129377220634,1726.860246661435,1773.4416231454238,0.0,0.0,0.0
52,0,0,-48.5,-0.485,0.0,1698.739,1698.739,1747.0503104539464,1747.0503104539464,0.0,1728.2108713544915,1826.7752402349718,1726.220734549168,1703.4558683457865,1745.5920836632263,1726.220734549168,1703.4558683457865,1745.5920836632263,1742.7921551458874,1720.177540232134,1765.216767620818,1742.7921551458874,1720.177540232134,1765.216767620818,0.0,0.0,0.0
53,0,0,-47.5,-0.475,0.0,1698.765,1698.765,1746.3673254722648,1746.3673254722648,0.0,1731.7046281221915,1693.6760603520568,1726.2885440872035,1703.4691786945548,1745.6846495925167,1726.2885440872035,1703.4691786945548,1745.6846495925167,1738.6115547187105,1714.9226111909093,1762.078230216951,1738.6115547187105,1714.9226111909093,1762.078230216951,0.0,0.0,0.0
54,0,0,-46.5,-0.465,0.0,1698.791,1698.791,1745.9692575823467,1745.9692575823467,0.0,1737.4275207472347,1736.3239333032209,1726.356353625237,1703.6448804007846,1745.7050430392085,1726.356353625237,1703.6448804007846,1745.7050430392085,1735.9164189590342,1713.4486692405958,1759.5246785300992,1735.9164189590342,1713.4486692405958,1759.5246785300992,0.0,0.0,0.0
55,0,0,-45.5,-0.455,0.0,1698.817,1698.817,1740.2105838488003,1740.2105838488003,0.0,1734.4530951949243,1846.7556860511036,1726.4241631632742,1703.7527045020947,1745.7454035532094,1726.4241631632742,1703.7527045020947,1745.7454035532094,1733.0607547643538,1709.9688087940146,1756.0656786805507,1733.0607547643538,1709.9688087940146,1756.0656786805507,0.0,0.0,0.0
56,0,0,-44.5,-0.445,0.0,1698.843,1698.843,1733.5491571671832,1733.5491571671832,0.0,1738.3424229815157,1778.9711774552143,1726.4919727013073,1703.7963266950787,1745.7817480306514,1726.4919727013073,1703.7963266950787,1745.7817480306514,1729.8711160431249,1706.9455101416374,1753.3759796295283,1729.8711160431249,1706.9455101416374,1753.3759796295283,0.0,0.0,0.0
57,0,0,-43.5,-0.435,0.0,1698.869,1698.869,1724.2339490031268,1724.2339490031268,0.0,1752.2004268649173,1742.621464896839,1726.5597822393424,1703.8569296031365,1745.9010276739289,1726.5597822393424,1703.8569296031365,1745.9010276739289,1725.319884229277,1702.675993193708,1748.4901559186678,1725.319884229277,1702.675993193708,1748.4901559186678,0.0,0.0,0.0
58,0,0,-42.5,-0.425,0.0,1698.895,1698.895,1708.8454238905483,1708.8454238905483,0.0,1676.181172653512,1724.1366055700466,1726.6275917773762,1704.1012942700017,1745.9677774136471,1726.6275917773762,1704.1012942700017,1745.9677774136471,1715.284539170202,1691.913804928596,1738.3753234835792,1715.284539170202,1691.913804928596,1738.3753234835792,0.0,0.0,0.0
59,0,0,-41.5,-0.415,0.0,1698.921,1698.921,1710.8100037438294,1710.8100037438294,0.0,1733.7726546867414,1700.8605709145622,1726.6954013154093,1704.1393222961806,1745.956904892224,1726.6954013154093,1704.1393222961806,1745.956904892224,1712.944706284207,1690.0676732274676,1736.4045331907894,1712.944706284207,1690.0676732274676,1736.4045331907894,0.0,0.0,0.0
60,0,0,-40.5,-0.405,0.0,1698.947,1698.947,1720.4165071759116,1720.4165071759116,0.0,1715.4912290265036,1644.9604571855039,1726.763210853452,1704.1732627853871,1746.0021068452747,1726.763210853452,1704.1732627853871,1746.0021068452747,1706.2529391816709,1682.398746590474,1729.5558147179877,1706.2529391816709,1682.398746590474,1729.5558147179877,0.0,0.0,0.0
61,0,0,-39.5,-0.395,0.0,1698.973,1698.973,1714.5567956222671,1714.5567956222671,0.0,1642.9037850716577,1747.7670054828175,1726.8310203914898,1704.225175894818,1746.0351496365047,1726.8310203914898,1704.225175894818,1746.0351496365047,1697.550256873536,1673.0478725844544,1720.865911529732,1697.550256873536,1673.0478725844544,1720.865911529732,0.0,0.0,0.0
62,0,0,-38.5,-0.385,0.0,1698.999,1698.999,1708.659489319384,1708.659489319384,0.0,1698.6917529830998,1647.0754334581948,1726.898829929523,1704.3761659733877,1746.136308503603,1726.898829929523,1704.3761659733877,1746.136308503603,1699.168406791749,1675.4563846381363,1722.3993179469314,1699.168406791749,1675.4563846381363,1722.3993179469314,0.0,0.0,0.0
63,0,0,-37.5,-0.375,0.0,1699.025,1699.025,1705.3019712397697,1705.3019712397697,0.0,1698.4798106278258,1825.4727774461294,1726.966639467555,1704.4629040189996,1746.1165788675892,1726.966639467555,1704.4629040189996,1746.1165788675892,1700.4917564547968,1677.1616000873876,1723.878528158662,1700.4917564547968,1677.1616000873876,1723.878528158662,0.0,0.0,0.0
64,0,0,-36.5,-0.365,0.0,1699.051,1699.051,1700.5705544025852,1700.5705544025852,0.0,1714.2758074868975,1611.7401072064017,1727.0344490055882,1704.5794375122853,1746.1436145246432,1727.0344490055882,1704.5794375122853,1746.1436145246432,1702.062550962493,1679.296448069185,1724.6587549016824,1702.062550962493,1679.296448069185,1724.6587549016824,0.0,0.0,0.0
65,0,0,-35.5,-0.355,0.0,1699.077,1699.077,1686.177985824284,1686.177985824284,0.0,1700.9169710764554,1671.4102719603165,1727.102258543629,1704.6567909100356,1746.207804613389,1727.102258543629,1704.6567909100356,1746.207804613389,1700.838398811541,1677.6968774721856,1723.84430799608,1700.838398811541,1677.6968774721856,1723.84430799608,0.0,0.0,0.0
66,0,0,-34.5,-0.345,0.0,1699.103,1699.103,1700.0875664281675,1700.0875664281675,0.0,1699.9284272879158,1703.1116283099686,1727.1700680816605,1704.5876761128795,1746.2263895907547,1727.1700680816605,1704.5876761128795,1746.2263895907547,1699.4221134802594,1675.8475895652518,1722.7490279982173,1699.4221134802594,1675.8475895652518,1722.7490279982173,0.0,0.0,0.0
67,0,0,-33.5,-0.335,0.0,1699.129,1699.129,1704.458393975179,1704.458393975179,0.0,1684.0972915141774,1672.1357422064711,1727.237877619693,1704.648151739841,1746.3077832913182,1727.237877619693,1704.648151739841,1746.3077832913182,1697.694694838479,1674.2282205656481,1720.8400484418435,1697.694694838479,1674.2282205656481,1720.8400484418435,0.0,0.0,0.0
68,0,0,-32.5,-0.325,0.0,1699.155,1699.155,1697.235375823695,1697.235375823695,0.0,1721.0545546152089,1700.3747303722673,1727.3056871577312,1704.6975466163938,1746.2295369130659,1727.3056871577312,1704.6975466163938,1746.2295369130659,1698.38996048521,1674.9170411042837,1722.462235711098,1698.38996048521,1674.9170411042837,1722.462235711098,0.0,0.0,0.0
69,0,0,-31.5,-0.315,0.0,1699.181,1699.181,1700.2460059226196,1700.2460059226196,0.0,1683.3177469181055,1739.9703790999424,1727.3734966957693,1704.7744985316078,1746.3104919792195,1727.3734966957693,1704.7744985316078,1746.3104919792195,1694.2707396408443,1670.1652234036526,1717.342202870581,1694.2707396408443,1670.1652234036526,1717.342202870581,0.0,0.0,0.0
70,0,0,-30.5,-0.305,0.0,1699.207,1699.207,1695.8406530780098,1695.8406530780098,0.0,1666.1294691228536,1778.0703371324205,1727.4413062338078,1704.8243768686611,1746.431839624157,1727.4413062338078,1704.8243768686611,1746.431839624157,1691.8423467843154,1667.3987705049915,1715.101720155337,1691.8423467843154,1667.3987705049915,1715.101720155337,0.0,0.0,0.0
71,0,0,-29.5,-0.295,0.0,1699.233,1699.233,1693.7921256827028,1693.7921256827028,0.0,1677.7548133448317,1703.7363143749049,1727.5091157718377,1704.8888151690944,1746.4576743803143,1727.5091157718377,1704.8888151690944,1746.4576743803143,1694.0730953451957,1670.2453148636039,1716.9806422179834,1694.0730953451957,1670.2453148636039,1716.9806422179834,0.0,0.0,0.0
72,0,0,-28.5,-0.285,0.0,1699.259,1699.259,1697.54110148484,1697.54110148484,0.0,1684.0759928418438,1698.9182019013206,1727.576925309884,1705.038733907819,1746.585483379368,1727.576925309884,1705.038733907819,1746.585483379368,1698.8980336605198,1675.5222948105481,1721.567277192406,1698.8980336605198,1675.5222948105481,1721.567277192406,0.0,0.0,0.0
73,0,0,-27.5,-0.275,0.0,1699.285,1699.285,1707.1056243748885,1707.1056243748885,0.0,1704.2528107150863,1729.2561473076203,1727.6447348479094,1705.0637275288682,1746.7108581822893,1727.6447348479094,1705.0637275288682,1746.7108581822893,1706.4241820884142,1683.0527529412693,1729.3193990365683,1706.4241820884142,1683.0527529412693,1729.3193990365683,0.0,0.0,0.0
